,種類,地区名,最寄駅,最寄駅からの距離（分）,取引価格（総額）,面積（㎡）,建築年
232,中古マンション等,巣鴨,西巣鴨,4,47000000,55,2006.0
233,中古マンション等,巣鴨,西巣鴨,4,46000000,55,2006.0
234,中古マンション等,巣鴨,西巣鴨,6,17000000,20,1993.0
235,中古マンション等,巣鴨,西巣鴨,5,33000000,40,2006.0
236,中古マンション等,千川,千川,6,9500000,15,1986.0
237,宅地(土地と建物),千川,千川,6,67000000,90,1976.0
239,中古マンション等,千川,千川,6,7000000,15,1986.0
240,宅地(土地と建物),雑司が谷,護国寺,8,70000000,55,2021.0
241,中古マンション等,雑司が谷,護国寺,6,68000000,80,2002.0
242,中古マンション等,雑司が谷,護国寺,6,56000000,65,2002.0
243,中古マンション等,雑司が谷,護国寺,6,75000000,80,2002.0
244,中古マンション等,雑司が谷,護国寺,6,20000000,20,2003.0
245,中古マンション等,雑司が谷,雑司が谷(東京メトロ),1,22000000,20,1998.0
246,宅地(土地と建物),雑司が谷,雑司が谷(東京メトロ),4,8000000,35,1977.0
248,宅地(土地と建物),雑司が谷,雑司が谷(東京メトロ),5,82000000,50,2021.0
249,宅地(土地と建物),雑司が谷,雑司が谷(東京メトロ),3,61000000,50,2010.0
250,宅地(土地と建物),雑司が谷,雑司が谷(東京メトロ),5,78000000,50,2021.0
251,中古マンション等,雑司が谷,雑司が谷(東京メトロ),3,73000000,75,1997.0
252,中古マンション等,雑司が谷,雑司が谷(東京メトロ),2,59000000,60,1999.0
253,中古マンション等,雑司が谷,雑司が谷(東京メトロ),2,35000000,40,1967.0
254,中古マンション等,高田,学習院下,4,33000000,30,2008.0
255,中古マンション等,高田,学習院下,4,32000000,30,2008.0
256,中古マンション等,高田,学習院下,3,43000000,45,1993.0
257,中古マンション等,高田,雑司が谷(東京メトロ),6,8600000,15,1983.0
258,宅地(土地と建物),高田,雑司が谷(東京メトロ),8,140000000,180,1979.0
259,宅地(土地と建物),高田,雑司が谷(東京メトロ),5,83000000,70,2019.0
260,宅地(土地と建物),高田,雑司が谷(東京メトロ),8,76000000,65,2012.0
261,中古マンション等,高田,雑司が谷(東京メトロ),6,24000000,20,2014.0
263,中古マンション等,高田,雑司が谷(東京メトロ),6,24000000,20,2014.0
264,中古マンション等,高田,雑司が谷(東京メトロ),11,24000000,40,1977.0
265,宅地(土地と建物),高田,雑司が谷(東京メトロ),5,140000000,240,1973.0
266,中古マンション等,高田,雑司が谷(東京メトロ),6,56000000,50,2016.0
267,中古マンション等,高田,雑司が谷(東京メトロ),5,42000000,55,1998.0
268,中古マンション等,高田,雑司が谷(東京メトロ),9,16000000,20,2002.0
